_id,name_cn,name_en,type,show_time,score,avatar
1250952,天气之子,天气之子,"爱情,动画,奇幻",2019-11-01中国大陆上映,9.0,https://p0.meituan.net/movie/ecca4f0b95340b2c57006a1bace4c3f91386100.jpg@1l_1e_1c_128w_180h
1218273,误杀,误杀,"剧情,犯罪",2019-12-13中国大陆上映,9.4,https://p1.meituan.net/movie/967b253953bc7e660cfadbf9d78f67b62852693.jpg@1l_1e_1c_128w_180h
344990,唐人街探案2,唐人街探案2,"喜剧,动作,悬疑",2018-02-16中国大陆上映,9.0,https://p1.meituan.net/movie/efb0a5e3989f45c4f3e22108bcc27ed71037307.jpg@1l_1e_1c_128w_180h
1211270,哪吒之魔童降世,哪吒之魔童降世,"动画,喜剧,奇幻",2019-07-26中国大陆上映,9.6,https://p0.meituan.net/movie/005955214d5b3e50c910d7a511b0cb571445301.jpg@1l_1e_1c_128w_180h
1218029,少年的你,少年的你,"爱情,青春,剧情",2019-10-25中国大陆上映,9.4,https://p0.meituan.net/movie/7b437e3a0d08d10e374ddc34f71b88fe3379132.jpg@1l_1e_1c_128w_180h
1227006,吹哨人,吹哨人,"剧情,犯罪,悬疑",2019-12-06中国大陆上映,8.4,https://p0.meituan.net/movie/2cbc83f180080382b7754652b04718152049777.jpg@1l_1e_1c_128w_180h
246061,哥斯拉2：怪兽之王,哥斯拉2：怪兽之王,"科幻,灾难,动作",2019-05-31中国大陆上映,8.5,https://p0.meituan.net/movie/71fba05fbe4912cb70d27b87c3c856393364925.jpg@1l_1e_1c_128w_180h
344264,战狼2,战狼2,"动作,战争",2017-07-27中国大陆上映,9.7,https://p0.meituan.net/movie/0355f74de087b699b85b7daa3d7881ec365712.jpg@1l_1e_1c_128w_180h
1251639,毒液2,毒液2,"动作,科幻,惊悚,恐怖",2020-06-25美国上映,暂无评分,https://p1.meituan.net/movie/015a88920f0f5b17273de7a25408ac5584998.jpg@1l_1e_1c_128w_180h
343355,恐怖电影院2,恐怖电影院2,"恐怖,惊悚",2017-10-20中国大陆上映,4.9,https://p0.meituan.net/movie/913ab2bb77e596faac6e5f5e3831c8a9255571.jpg@1l_1e_1c_128w_180h
1225578,野性的呼唤,野性的呼唤,"剧情,冒险",2020-02-21美国上映,7.2,https://p1.meituan.net/moviemachine/6ca63f0a1b08ee9667dcf0f699b6cf3d216090.jpg@1l_1e_1c_128w_180h
248172,复仇者联盟4：终局之战,复仇者联盟4：终局之战,"动作,冒险,奇幻",2019-04-24中国大陆上映,9.1,https://p0.meituan.net/moviemachine/f7d2ad70eb79d6d9b8a197713db9b8c41711752.jpg@1l_1e_1c_128w_180h
247949,冰雪奇缘2,冰雪奇缘2,"喜剧,动画,冒险",2019-11-22中国大陆上映,9.0,https://p0.meituan.net/moviemachine/58ee13be6dc60bf5e636cf915bbbaaa55787785.jpg@1l_1e_1c_128w_180h
1285808,活着,活着,灾难,2020-06-24韩国上映,暂无评分,https://p0.meituan.net/moviemachine/ce48cf62a8968b32289fc15eb749fafd819957.jpg@1l_1e_1c_128w_180h
1278457,火箭少女101飞行演唱会*广州站,火箭少女101飞行演唱会*广州站,歌舞,2019-03-30中国大陆上映,暂无评分,https://p0.meituan.net/movie/8890cbfdb7519fddcef493353ef2ea7f140096.jpg@1l_1e_1c_128w_180h
344869,疯狂的外星人,疯狂的外星人,"剧情,喜剧,科幻",2019-02-05中国大陆上映,8.5,https://p0.meituan.net/movie/6a21e35ad7106c60967954b165c09b92915222.jpg@1l_1e_1c_128w_180h
1230121,中国机长,中国机长,"剧情,传记",2019-09-30中国大陆上映,9.4,https://p0.meituan.net/movie/cddf92d0ac6a0db837a1bc488b241c42267927.jpg@1l_1e_1c_128w_180h
1277644,两只老虎,两只老虎,"剧情,喜剧",2019-11-29中国大陆上映,8.0,https://p0.meituan.net/moviemachine/19d48b1fd4f4af5c8c8e1c780a26fa431567220.jpg@1l_1e_1c_128w_180h
248906,流浪地球,流浪地球,"剧情,冒险,科幻",2019-02-05中国大陆上映,9.2,https://p1.meituan.net/movie/616cd50a33550a9225ac781e52d14ae54967551.jpg@1l_1e_1c_128w_180h
443387,星球大战：天行者崛起,星球大战：天行者崛起,"动作,科幻,冒险",2019-12-20中国大陆上映,7.9,https://p0.meituan.net/moviemachine/a16716ff2873be37857add59f882e44d5071965.jpg@1l_1e_1c_128w_180h
1332034,最美逆行,最美逆行,剧情,2020-06-28中国大陆上映,暂无评分,https://p0.meituan.net/moviemachine/4456ee7276eeee6dbd437743735caa09114795.jpg@1l_1e_1c_128w_180h
343203,釜山行,釜山行,"动作,惊悚,灾难",2016-07-20韩国上映,8.9,https://p1.meituan.net/movie/9a0cc541dba6851c92143f0cc0d97bbe270276.jpg@1l_1e_1c_128w_180h
1250696,囧妈,囧妈,"剧情,喜剧",2020-01-25中国大陆上映,暂无评分,https://p1.meituan.net/movie/f2ebf28e702874e3aa4238911cd34ef41074680.jpg@1l_1e_1c_128w_180h
1277939,我和我的祖国,我和我的祖国,剧情,2019-09-30中国大陆上映,9.7,https://p0.meituan.net/moviemachine/b2c5c74d33e45745fd3462e44b3698e18336620.jpg@1l_1e_1c_128w_180h
336798,速度与激情：增压,速度与激情：增压,"动作,短片",2015-06-25美国上映,7.8,https://p0.meituan.net/movie/de9c7b6a0afa18a196b14867e5f3385f176111.jpg@1l_1e_1c_128w_180h
1324423,因爱而伟大,因爱而伟大,"剧情,家庭",,暂无评分,https://p0.meituan.net/moviemachine/516fe3b08da4626f894b6749eb12cc4e990106.jpg@1l_1e_1c_128w_180h
1285581,数码宝贝大冒险：最后的进化·羁绊,数码宝贝大冒险：最后的进化·羁绊,"动画,冒险",2020-02-21日本上映,7.5,https://p0.meituan.net/movie/91fbd3b7a8a4304f0b40dbac0139e483170865.jpg@1l_1e_1c_128w_180h
1305801,泰迦奥特曼剧场版 新世代CLIMAX,泰迦奥特曼剧场版 新世代CLIMAX,"科幻,冒险",2020-03-06日本上映,暂无评分,https://p0.meituan.net/movie/f3fe98e46f314689eb16f03d4381d809156648.jpg@1l_1e_1c_128w_180h
1198925,蜘蛛侠：英雄远征,蜘蛛侠：英雄远征,"动作,冒险,科幻",2019-06-28中国大陆上映,9.0,https://p0.meituan.net/moviemachine/48fdec1c3f34533f1e1b907c5e8a61f01905931.jpg@1l_1e_1c_128w_180h
337091,与神同行：罪与罚,与神同行：罪与罚,"剧情,奇幻",2017-12-20韩国上映,7.6,https://p0.meituan.net/movie/463f9fc6362f274fb49a60fdc181b548160397.jpg@1l_1e_1c_128w_180h
1250700,攀登者,攀登者,"剧情,冒险",2019-09-30中国大陆上映,9.4,https://p0.meituan.net/movie/4c01895cfd53e82f7c3048c407974a6b4739229.jpg@1l_1e_1c_128w_180h
1215605,速度与激情：特别行动,速度与激情：特别行动,"动作,惊悚,犯罪",2019-08-23中国大陆上映,8.7,https://p1.meituan.net/movie/648bbced128324a4b4ccf7db6c564a251744344.jpg@1l_1e_1c_128w_180h
1200486,我不是药神,我不是药神,"剧情,喜剧",2018-07-05中国大陆上映,9.6,https://p0.meituan.net/movie/2e6618bf4995f8ca13b3099b109e6eea268867.jpg@1l_1e_1c_128w_180h
1190122,叶问4：完结篇,叶问4：完结篇,"动作,剧情,传记",2019-12-20中国大陆上映,9.4,https://p0.meituan.net/movie/a3d6ca3bdd5b0ddd7016acff9a9f2f2e2805813.jpg@1l_1e_1c_128w_180h
336673,新世纪福音战士新剧场版：终,新世纪福音战士新剧场版：终,"剧情,科幻,动画",2020-06-27日本上映,暂无评分,https://p0.meituan.net/movie/ac1595b2b5a0db64e78b2f75f0af533d337502.jpg@1l_1e_1c_128w_180h
1217041,南方车站的聚会,南方车站的聚会,"剧情,犯罪",2019-12-06中国大陆上映,7.9,https://p1.meituan.net/movie/6d1a970c7fefb016006b0af099d8ff38867262.jpg@1l_1e_1c_128w_180h
1277950,反贪风暴5,反贪风暴5,"动作,犯罪",2019中国大陆上映,暂无评分,https://p0.meituan.net/movie/37f4012041e4ff2b06fcd8d052269261131968.jpg@1l_1e_1c_128w_180h
1330292,大鱼海棠2,大鱼海棠2,"动画,奇幻",,暂无评分,https://p0.meituan.net/moviemachine/8263380073d21c4a37bbd294deda1ff87108.png@1l_1e_1c_128w_180h
344881,你的名字。,你的名字。,"爱情,动画,奇幻",2016-12-02中国大陆上映,9.2,https://p1.meituan.net/movie/04de313fdd7f3835563d3c4bdfb980735556062.jpg@1l_1e_1c_128w_180h
1291039,大赢家,大赢家,喜剧,2020-03-20中国大陆上映,6.7,https://p0.meituan.net/movie/abef75312b881febdf357262439ed22e6877839.jpg@1l_1e_1c_128w_180h
1278458,鬼灭之刃 兄妹的羁绊,鬼灭之刃 兄妹的羁绊,"动作,动画,惊悚,奇幻",2019-03-29日本上映,9.2,https://p1.meituan.net/movie/7be345df4908eb75710b87c9cb3adec0166362.jpg@1l_1e_1c_128w_180h
1243361,烈火英雄,烈火英雄,"灾难,动作,剧情",2019-08-01中国大陆上映,9.4,https://p0.meituan.net/movie/f75fcb7696d55452e32794b2219700b9840805.jpg@1l_1e_1c_128w_180h
1212592,西虹市首富,西虹市首富,喜剧,2018-07-27中国大陆上映,9.2,https://p1.meituan.net/movie/2b41bfe0dd8ce2da9aed193e84727cba160203.jpg@1l_1e_1c_128w_180h
1279731,宠爱,宠爱,"喜剧,爱情,剧情",2019-12-31中国大陆上映,8.9,https://p0.meituan.net/moviemachine/36eda496688542263d9a0f02ac728327823369.jpg@1l_1e_1c_128w_180h
246591,大鱼海棠,大鱼海棠,"剧情,动画,奇幻",2016-07-08中国大陆上映,8.4,https://p1.meituan.net/movie/9316c3269e405f64cbb6c3e1d553a9b3527095.jpg@1l_1e_1c_128w_180h
1249366,航海王：狂热行动,航海王：狂热行动,"动画,冒险",2019-10-18中国大陆上映,9.3,https://p0.meituan.net/moviemachine/ff399baffe786445b96e4e3d24fe1eeb675719.jpg@1l_1e_1c_128w_180h
249033,明日战记,明日战记,"动作,科幻,冒险",2019中国香港上映,暂无评分,https://p1.meituan.net/movie/8eb19cb85aa1557624612653e85af841267800.jpg@1l_1e_1c_128w_180h
248700,速度与激情8,速度与激情8,"动作,惊悚,犯罪",2017-04-14中国大陆上映,9.3,https://p1.meituan.net/movie/a7002208a13778570778ad26495cabb34541177.jpg@1l_1e_1c_128w_180h
344929,前任3：再见前任,前任3：再见前任,"喜剧,爱情",2017-12-29中国大陆上映,9.1,https://p1.meituan.net/movie/b550ee8f2d4192015073fc878b141161336659.jpg@1l_1e_1c_128w_180h
1281095,紫罗兰永恒花园 外传：永远与自动手记人偶,紫罗兰永恒花园 外传：永远与自动手记人偶,"剧情,动画",2020-01-10中国大陆上映,9.2,https://p0.meituan.net/movie/37e835fdaf68e48dd002b6757374251d6793835.jpg@1l_1e_1c_128w_180h
1243239,熊出没·原始时代,熊出没·原始时代,"喜剧,动画,冒险",2019-02-05中国大陆上映,9.1,https://p1.meituan.net/movie/0ca4644c25ff01b7779a06e1ce4f1b011824360.jpg@1l_1e_1c_128w_180h
1182552,红海行动,红海行动,"剧情,动作",2018-02-16中国大陆上映,9.4,https://p0.meituan.net/movie/4aa41a512c44f4a7d613c05a8d47fbb0411851.jpg@1l_1e_1c_128w_180h
1212490,战神诀,战神诀,战争,2019中国大陆上映,暂无评分,https://p0.meituan.net/moviemachine/bff6b8727558ea5fb9b0f090e6c4269a1075754.jpg@1l_1e_1c_128w_180h
345011,建军大业,建军大业,"剧情,历史",2017-07-27中国大陆上映,9.1,https://p0.meituan.net/movie/e2807e23064278d4a279a7ac6b87dea5382527.jpg@1l_1e_1c_128w_180h
1212,千与千寻,千与千寻,"动画,冒险,奇幻,家庭",2019-06-21中国大陆上映,9.3,https://p0.meituan.net/movie/30b20139e68c46d02e0893277d633b701292458.jpg@1l_1e_1c_128w_180h
248015,陀地驱魔人,陀地驱魔人,"剧情,恐怖",2015-11-22中国香港上映,8.1,https://p1.meituan.net/movie/8e565df4eb7d25eab6b75a127c3ea017232992.jpg@1l_1e_1c_128w_180h
240,画壁,画壁,"剧情,动作,爱情,奇幻",2011-09-29中国大陆上映,6.7,https://p1.meituan.net/movie/7e5afaeef2b1974fe5f6b12f4e647e00368672.jpg@1l_1e_1c_128w_180h
1218141,扫毒2天地对决,扫毒2天地对决,"剧情,动作,悬疑,犯罪",2019-07-05中国大陆上映,9.0,https://p0.meituan.net/movie/8d3efdc44af04c3254fc9e4ad5334ae32660685.jpg@1l_1e_1c_128w_180h
1208115,羞辱,羞辱,剧情,2017-09-14黎巴嫩上映,8.0,https://p1.meituan.net/movie/1361754043b8c21e1178aa999052808b2233886.jpg@1l_1e_1c_128w_180h
1280053,午夜0时的吻,午夜0时的吻,爱情,2019-12-06日本上映,5.0,https://p1.meituan.net/movie/d9d786e91b68c1d4841934df6b410940354352.jpg@1l_1e_1c_128w_180h
1325488,我非英雄,我非英雄,剧情,,暂无评分,https://p1.meituan.net/moviemachine/06809142b29a3b3c395780512058fbf43748437.jpg@1l_1e_1c_128w_180h
1278417,知晓天空之蓝的人啊,知晓天空之蓝的人啊,动画,2019-10-11日本上映,7.2,https://p0.meituan.net/movie/59b7973b6724f9833e8230dafd1a9cbe281004.jpg@1l_1e_1c_128w_180h
1211727,反贪风暴4,反贪风暴4,"剧情,动作,犯罪",2019-04-04中国大陆上映,9.0,https://p1.meituan.net/movie/c63849c7a9de360a7b192bc322792a111705236.jpg@1l_1e_1c_128w_180h
246063,美人鱼,美人鱼,"喜剧,爱情,科幻",2016-02-08中国大陆上映,9.0,https://p0.meituan.net/movie/18cf7a5bc7c2094f38200d4673766b0a333967.jpg@1l_1e_1c_128w_180h
1215201,小丑,小丑,"剧情,惊悚,犯罪",2019-10-04美国上映,8.6,https://p0.meituan.net/moviemachine/7707dc3478f9ab26871688f4964ae45d6672925.jpg@1l_1e_1c_128w_180h
42964,毒液：致命守护者,毒液：致命守护者,"动作,惊悚,科幻",2018-11-09中国大陆上映,9.2,https://p0.meituan.net/movie/363e3a7e614d29b2847ff4e62afcd3f42168651.jpg@1l_1e_1c_128w_180h
1235560,白蛇：缘起,白蛇：缘起,"爱情,动画,奇幻",2019-01-11中国大陆上映,9.3,https://p0.meituan.net/movie/a48ac62bd6f10b9bf94aebc2f19d24021727296.jpg@1l_1e_1c_128w_180h
1212492,老师·好,老师·好,"剧情,喜剧",2019-03-22中国大陆上映,9.3,https://p0.meituan.net/movie/b8821d597382e319f9679b7e24e49d113204356.jpg@1l_1e_1c_128w_180h
1310071,泰迦奥特曼剧场版 新世代CLIMAX,泰迦奥特曼剧场版 新世代CLIMAX,"剧情,科幻,冒险",,暂无评分,https://p0.meituan.net/movie/d3c348cd5640a15414ad7662e49e122b161074.jpg@1l_1e_1c_128w_180h
1261810,战狼三级班,战狼三级班,短片,2017中国大陆上映,暂无评分,https://p0.meituan.net/movie/4e5625b912f756464abb7a70430fa404272515.jpg@1l_1e_1c_128w_180h
248170,复仇者联盟3：无限战争,复仇者联盟3：无限战争,"动作,冒险,科幻",2018-05-11中国大陆上映,9.0,https://p1.meituan.net/movie/266d24fe8567632e078b3717a096d104359095.jpg@1l_1e_1c_128w_180h
1229534,银河补习班,银河补习班,"剧情,家庭",2019-07-18中国大陆上映,9.4,https://p0.meituan.net/movie/bb9f75599bfbb2c4cf77ad9abae1b95c1376927.jpg@1l_1e_1c_128w_180h
1208282,无名之辈,无名之辈,"剧情,喜剧,犯罪",2018-11-16中国大陆上映,9.0,https://p0.meituan.net/movie/db233a95c927420707ec0ed47d29f21d321171.jpg@1l_1e_1c_128w_180h
1261678,光天化日,光天化日,"动作,爱情,犯罪",2019中国大陆上映,暂无评分,https://p0.meituan.net/movie/5be3b1250d775f8ae155c91613496e49115034.jpg@1l_1e_1c_128w_180h
343101,变形金刚7,变形金刚7,"动作,科幻,冒险",2019-06-28美国上映,暂无评分,https://p1.meituan.net/movie/c3bb27f71ba513f297b9a3e04a0d49a181416.jpg@1l_1e_1c_128w_180h
414997,命运之夜——天之杯II ：迷失之蝶,命运之夜——天之杯II ：迷失之蝶,"剧情,动画,奇幻",2019-07-12中国大陆上映,9.0,https://p0.meituan.net/movie/7b40e56e644cd04915e6e9cc09c1bdb1331242.jpg@1l_1e_1c_128w_180h
580298,新喜剧之王,新喜剧之王,"剧情,喜剧",2019-02-05中国大陆上映,8.0,https://p0.meituan.net/movie/ec30a55b1b20e7b8621bfb7682b530f9568248.jpg@1l_1e_1c_128w_180h
1258394,名侦探柯南：绀青之拳,名侦探柯南：绀青之拳,"动画,悬疑,动作",2019-09-13中国大陆上映,8.7,https://p0.meituan.net/moviemachine/b7362f555340906684944957dfc8d5421530646.jpg@1l_1e_1c_128w_180h
180,唐山大地震,唐山大地震,"剧情,历史,灾难",2010-07-22中国大陆上映,8.2,https://p0.meituan.net/movie/1f4bc49ed6c5a3ba23a93ecd68b73da1362146.jpg@1l_1e_1c_128w_180h
1277457,麦路人,麦路人,剧情,2019-10-29日本上映,7.2,https://p0.meituan.net/movie/da5893324abb0ea82d87f6f386eddae582129.jpg@1l_1e_1c_128w_180h
1297916,家有喜事2020,家有喜事2020,喜剧,2020-01-25中国香港上映,暂无评分,https://p0.meituan.net/movie/6359093d1e18f63703fa4fb67f27d42d139611.jpg@1l_1e_1c_128w_180h
1208342,江湖儿女,江湖儿女,"爱情,犯罪",2018-09-21中国大陆上映,7.6,https://p0.meituan.net/movie/7c6d552c8e92e9782954fb19be4fb4ca328353.jpg@1l_1e_1c_128w_180h
78405,速度与激情7,速度与激情7,"动作,惊悚,犯罪",2015-04-12中国大陆上映,9.6,https://p1.meituan.net/movie/b22bc4b0cf71916e6c2f4c335c3a66a0300236.jpg@1l_1e_1c_128w_180h
789,建国大业,建国大业,"剧情,历史",2009-09-16中国大陆上映,7.7,https://p1.meituan.net/movie/be857a701e956a39451f9fa52d057ec5293736.jpg@1l_1e_1c_128w_180h
243,阿凡达,阿凡达,"动作,科幻,冒险",2010-01-04中国大陆上映,9.0,https://p1.meituan.net/movie/e540384dc6c9f63bdb27cc554588a77f44305.jpg@1l_1e_1c_128w_180h
277518,纽约唐人街碎尸案,纽约唐人街碎尸案,剧情,1961中国香港上映,暂无评分,https://p1.meituan.net/movie/c39720873db6092a7a4811ee377e4dd220686.jpg@1l_1e_1c_128w_180h
1301549,我的王牌老爸,我的王牌老爸,"剧情,动作",,暂无评分,https://p1.meituan.net/moviemachine/4b7c1a450ec3e9e2a692b29b3c3ab52d622682.png@1l_1e_1c_128w_180h
1198178,动物世界,动物世界,"动作,悬疑,冒险",2018-06-29中国大陆上映,8.5,https://p1.meituan.net/movie/c70b5206c096ca2c309383250162ed69393584.jpg@1l_1e_1c_128w_180h
1261353,路人女主的养成方法 剧场版,路人女主的养成方法 剧场版,"爱情,动画",2019-10-26日本上映,暂无评分,https://p0.meituan.net/movie/be84526abf6e410daa62b4054c5fd5ca118655.jpg@1l_1e_1c_128w_180h
1301277,灭狐行动,灭狐行动,"动作,剧情",,暂无评分,https://p0.meituan.net/moviemachine/860328e8268d8c86addbeaca1dd16cd1992444.png@1l_1e_1c_128w_180h
343720,后来的我们,后来的我们,"剧情,爱情",2018-04-28中国大陆上映,8.3,https://p0.meituan.net/movie/9570b9680d1b72ff308ab2427b72db1c404682.jpg@1l_1e_1c_128w_180h
344183,奇门遁甲,奇门遁甲,"喜剧,动作,奇幻",2017-12-14中国大陆上映,7.7,https://p0.meituan.net/movie/f9dc4505ba214ad5d7648a3cb8483044446325.jpg@1l_1e_1c_128w_180h
1251281,被光抓走的人,被光抓走的人,"剧情,爱情",2019-12-13中国大陆上映,7.7,https://p0.meituan.net/movie/6e76513774a294aafeea8d5fa661f5902937606.jpg@1l_1e_1c_128w_180h
521231,万达，残暴的催眠师,万达，残暴的催眠师,"喜剧,恐怖",1969美国上映,暂无评分,https://p0.meituan.net/movie/83d91860ef34ad2205fda25c50748b03101873.jpg@1l_1e_1c_128w_180h
345419,沉睡魔咒2,沉睡魔咒2,"冒险,家庭,奇幻",2019-10-18中国大陆上映,9.1,https://p1.meituan.net/moviemachine/c68e3fff79463952b33cbc1e1b45442b1772992.jpg@1l_1e_1c_128w_180h
1132397,寒战3,寒战3,"剧情,动作,犯罪",2019中国香港上映,暂无评分,https://p1.meituan.net/movie/dcebc0f33d92e1d4e967d8a24a56b95a55977.jpg@1l_1e_1c_128w_180h
632158,真·三国无双,真·三国无双,爱情,2018中国大陆上映,暂无评分,https://p0.meituan.net/movie/b8dfe8c1b9d5cfa48cff20d0e2e54f3c265366.jpg@1l_1e_1c_128w_180h
342903,上海堡垒,上海堡垒,"科幻,爱情,战争",2019-08-09中国大陆上映,5.8,https://p1.meituan.net/movie/5dde9673a97f1e11540dc4c4cc78cbcb3314363.jpg@1l_1e_1c_128w_180h
1321647,黑帮大佬和我的365日,黑帮大佬和我的365日,情色,2020-02-07波兰上映,4.7,https://p0.meituan.net/movie/053bc956e9238e8bcafc14f4c3b8915938293.jpg@1l_1e_1c_128w_180h
